game,ep,ytid,seconds,wiki_id
Star Fox 64,1,8b9V3mTVRJE,858,Star_Fox_64
Doom 64,3,9qXM8QsK7XE,140,Doom_64
Xena: Warrior Princess - The Talisman of Fate,1,8b9V3mTVRJE,7983,Xena:_Warrior_Princess:_The_Talisman_of_Fate
Cruis'n USA,1,8b9V3mTVRJE,4430,Cruis'n_USA
Toy Story 2: Buzz Lightyear to the Rescue!,2,VgtvG1UrKJo,230,Toy_Story_2:_Buzz_Lightyear_to_the_Rescue
Madden Football 64,3,9qXM8QsK7XE,3283,Madden_Football_64
Tonic Trouble,2,VgtvG1UrKJo,6112,Tonic_Trouble
Power Rangers: Lightspeed Rescue,1,8b9V3mTVRJE,6205,Power_Rangers_Lightspeed_Rescue_(video_game)
Transformers: Beast Wars Transmetals,3,9qXM8QsK7XE,7918,Transformers:_Beast_Wars_Transmetals
Milo's Astro Lanes,3,9qXM8QsK7XE,5552,Milo's_Astro_Lanes
Asteroids Hyper 64,2,VgtvG1UrKJo,4378,Asteroids_(video_game)_Re-releases

